"","ID.Number","Renew","randomVal","predict"
"1",236764,1,0.717853382382057,0
"2",298260,0,0.41772535625266,0
"3",300288,0,0.869260491146178,1
"4",300552,1,0.402299902966552,0
"5",311620,0,0.712366988040504,0
"6",314596,0,0.495262023331254,0
"7",318040,0,0.404718057879658,0
"8",319736,0,0.666583320718569,0
"9",329464,0,0.65055546074008,0
"10",340096,0,0.536526935911154,0
"11",342776,0,0.632611626773253,0
"12",371840,0,0.66590297498135,0
"13",375468,0,0.557354234976022,0
"14",376916,0,0.332544876915797,0
"15",382820,0,0.634370749686061,0
"16",387800,0,0.561049623435916,0
"17",401112,0,0.450686142528948,0
"18",430532,0,0.422713054863231,0
"19",451628,0,0.578342464932229,0
"20",457792,1,0.855003431517285,1
"21",482440,0,0.633578349489811,0
"22",547372,0,0.423618328793935,0
"23",583784,0,0.319764855835388,0
"24",657556,0,0.48803891069768,0
"25",765648,0,0.641663542866497,0
"26",768480,1,0.637408383702101,0
"27",789540,0,0.581620422623368,0
"28",790832,0,0.473010608599972,0
"29",828688,0,0.672710455153472,0
"30",860300,0,0.550290169398177,0
"31",903480,1,0.377946211933943,0
"32",917056,0,0.754362357728506,0
"33",947288,0,0.220734038694345,0
"34",974500,1,0.412440947028082,0
"35",1003028,0,0.591409026357816,0
"36",1083180,0,0.425274507754321,0
"37",1154496,0,0.354227936258361,0
"38",1195804,0,0.433179311908121,0
"39",1200492,0,0.420074515022237,0
"40",1208332,0,0.720319390201813,0
"41",1271472,0,0.347750300103166,0
"42",1303692,0,0.463257688958963,0
"43",1352204,0,0.49117805360147,0
"44",1369844,1,0.558410652112657,0
"45",1388400,0,0.443417989530155,0
"46",1526132,0,0.548045967494446,0
"47",1531088,1,0.601148937968706,0
"48",1555104,0,0.790364257194114,0
"49",1595620,0,0.645842080143816,0
"50",1639272,0,0.55378136973938,0
"51",1655472,0,0.57061509497484,0
"52",1916848,0,0.493869588789212,0
"53",1998592,0,0.610746365171539,0
"54",2023848,0,0.90074539531043,1
"55",2105024,1,0.537529477955344,0
"56",2105960,0,0.503242129103795,0
"57",2237728,0,0.60679085894543,0
"58",2252096,1,0.565532087751634,0
"59",2274320,0,0.502222355678835,0
"60",2320744,0,0.578968567785521,0
"61",2326668,0,0.625402205390969,0
"62",2328064,0,0.351696467143718,0
"63",2349928,0,0.484315109737654,0
"64",2512556,0,0.582781016910975,0
"65",2602772,0,0.601488715136028,0
"66",2633496,0,0.770964529441147,0
"67",2777856,0,0.386725862679375,0
"68",2849228,0,0.647032407137046,0
"69",2849352,1,0.621850569840341,0
"70",2851552,0,0.533059430761347,0
"71",3629680,0,0.369378500962104,0
"72",3632000,0,0.707620746513548,0
"73",3716208,0,0.543191601330947,0
"74",3718360,0,0.643937509297004,0
"75",3723948,0,0.547479600651947,0
"76",3727708,0,0.490508935978995,0
"77",3733072,0,0.608098118195512,0
"78",3735488,0,0.507709646337436,0
"79",3745300,0,0.345070761104022,0
"80",3746600,0,0.395018254832944,0
"81",4002376,0,0.887052051313232,1
"82",4018164,0,0.366227495047826,0
"83",4022368,0,0.646524352770313,0
"84",4022660,0,0.556530928380573,0
"85",4025152,1,0.619597934174828,0
"86",4039168,0,0.633063383885303,0
"87",4042240,0,0.552629343398383,0
"88",4044360,0,0.56708331404285,0
"89",4046368,0,0.467608925465419,0
"90",4048732,1,0.40532891644065,0
"91",4050508,0,0.55986640990106,0
"92",4050832,0,0.546066029995283,0
"93",4051144,0,0.750988222185944,0
"94",4051308,0,0.486660885898791,0
"95",4051640,0,0.56125377795991,0
"96",4056120,0,0.5208507773198,0
"97",4059032,0,0.349378035279767,0
"98",4059284,0,0.547496789172773,0
"99",4061028,1,0.554558036398153,0
"100",4063612,0,0.299237623881735,0
"101",4065252,0,0.437854508568737,0
"102",4065928,0,0.551615236337512,0
"103",4066524,0,0.424850430993763,0
"104",4066680,1,0.555491683095347,0
"105",4067976,1,0.431272124299729,0
"106",4072332,1,0.7674008358232,0
"107",4077028,1,0.698485387842431,0
"108",4077828,1,0.543704293663351,0
"109",4078608,0,0.588105983513651,0
"110",4081540,0,0.488970515792417,0
"111",4082744,0,0.202034690527712,0
"112",4087152,0,0.458719042729589,0
